,spent_rate,customer_state,customer_city,customer_count,total_spent,customer_count_percent,total_spent_percent
3698,med,PR,bituruna,3,258.89,0.003153181560194236,0.0023662055404383288
3699,med,PR,nova santa rosa,3,258.89,0.003153181560194236,0.0023662055404383288
3700,med,RS,torres,3,258.89,0.003153181560194236,0.0023662055404383288
3701,med,PE,abreu e lima,3,258.87,0.003153181560194236,0.002366022744228322
3702,med,MG,arceburgo,3,258.78,0.003153181560194236,0.0023652001612832893
3703,low,MG,boa esperanca,5,258.5,0.005255302600323726,0.0023626410143431885
3704,med,RS,rolante,3,258.47,0.003153181560194236,0.002362366820028178
3705,low,RS,osorio,8,258.17,0.008408484160517963,0.0023596248768780696
3706,high,PB,princesa isabel,1,258.0,0.0010510605200647453,0.0023580711090930083
3707,med,PA,vila dos cabanos,3,257.98,0.003153181560194236,0.0023578883128830014
3708,med,PI,jose de freitas,3,257.9,0.003153181560194236,0.002357157128042972
3709,med,GO,bom jesus,3,257.89,0.003153181560194236,0.0023570657299379688
3710,high,PR,santa monica,1,257.89,0.0010510605200647453,0.0023570657299379688
3711,med,SP,holambra ii,3,257.29,0.003153181560194236,0.0023515818436377527
3712,high,BA,mucuge,1,256.99,0.0010510605200647453,0.0023488399004876442
3713,med,MG,abaete,3,256.89,0.003153181560194236,0.002347925919437608
3714,med,SP,taiuva,4,256.54,0.004204242080258981,0.002344726985762482
3715,med,SP,pacaembu,3,256.39,0.003153181560194236,0.0023433560141874277
3716,high,PR,santo antonio do caiua,1,256.3,0.0010510605200647453,0.0023425334312423955
3717,med,MS,jardim,3,256.0,0.003153181560194236,0.0023397914880922874
3718,high,MG,guaranesia,1,256.0,0.0010510605200647453,0.0023397914880922874
3719,high,RS,minas do leao,1,256.0,0.0010510605200647453,0.0023397914880922874
3720,high,CE,milagres,1,255.0,0.0010510605200647453,0.0023306516775919266
3721,high,MG,carai,1,255.0,0.0010510605200647453,0.0023306516775919266
3722,high,PA,bonito,1,255.0,0.0010510605200647453,0.0023306516775919266
3723,high,BA,ibicoara,1,254.9,0.0010510605200647453,0.002329737696541891
3724,low,GO,senador canedo,8,254.69,0.008408484160517963,0.002327818336336815
3725,low,PR,medianeira,7,254.66,0.0073574236404532175,0.002327544142021804
3726,med,RS,flores da cunha,3,253.88,0.003153181560194236,0.002320415089831523
3727,low,PR,marechal candido rondon,8,253.68,0.008408484160517963,0.002318587127731451
3728,low,PR,fazenda rio grande,9,253.67,0.009459544680582707,0.002318495729626447
3729,low,SP,cachoeira paulista,6,253.57,0.006306363120388472,0.002317581748576411
3730,high,MG,igaratinga,1,253.52,0.0010510605200647453,0.002317124758051393
3731,med,RN,currais novos,3,253.39,0.003153181560194236,0.002315936582686346
3732,low,RS,igrejinha,7,252.64,0.0073574236404532175,0.002309081724811076
3733,med,MG,camanducaia,3,252.49,0.003153181560194236,0.002307710753236022
3734,med,SC,faxinal dos guedes,3,252.44,0.003153181560194236,0.0023072537627110037
3735,med,MG,dom silverio,3,252.33999999999997,0.003153181560194236,0.002306339781660968
3736,med,MS,coxim,3,251.98,0.003153181560194236,0.002303049449880838
3737,high,SC,nova itaberaba,1,251.9,0.0010510605200647453,0.0023023182650408094
3738,low,MG,resplendor,7,250.07999999999998,0.0073574236404532175,0.002285683809930153
3739,high,MA,porto franco,1,250.0,0.0010510605200647453,0.002284952625090124
3740,high,MS,itaquirai,1,250.0,0.0010510605200647453,0.002284952625090124
3741,high,RS,catuipe,1,250.0,0.0010510605200647453,0.002284952625090124
3742,high,MA,presidente juscelino,1,249.99,0.0010510605200647453,0.002284861226985121
3743,high,MG,ipiacu,1,249.99,0.0010510605200647453,0.002284861226985121
3744,med,RS,santo cristo,3,249.98,0.003153181560194236,0.002284769828880117
3745,med,SP,panorama,3,249.9,0.003153181560194236,0.002284038644040088
3746,high,AL,santana do ipanema,1,249.9,0.0010510605200647453,0.002284038644040088
3747,high,BA,ituacu,1,249.9,0.0010510605200647453,0.002284038644040088
3748,high,CE,cedro,1,249.9,0.0010510605200647453,0.002284038644040088
3749,high,MG,divinesia,1,249.9,0.0010510605200647453,0.002284038644040088
3750,med,RS,soledade,3,249.89,0.003153181560194236,0.0022839472459350845
3751,med,PA,cameta,3,249.8,0.003153181560194236,0.0022831246629900523
3752,med,MS,sao gabriel do oeste,3,249.75,0.003153181560194236,0.002282667672465034
3753,low,RJ,pirai,5,249.73000000000002,0.005255302600323726,0.0022824848762550273
3754,high,BA,itaguacu da bahia,1,249.7,0.0010510605200647453,0.002282210681940016
3755,high,PR,carambei,1,249.5,0.0010510605200647453,0.0022803827198399442
3756,high,RS,getulio vargas,1,249.5,0.0010510605200647453,0.0022803827198399442
3757,low,MG,sao goncalo do sapucai,6,249.19,0.006306363120388472,0.002277549378584832
3758,high,CE,aratuba,1,249.0,0.0010510605200647453,0.002275812814589764
3759,high,SE,brejo grande,1,249.0,0.0010510605200647453,0.002275812814589764
3760,high,RS,dom feliciano,1,248.99,0.0010510605200647453,0.0022757214164847604
3761,high,SP,joao ramalho,1,248.99,0.0010510605200647453,0.0022757214164847604
3762,high,SP,taciba,1,248.99,0.0010510605200647453,0.0022757214164847604
3763,med,BA,mata de sao joao,3,248.97,0.003153181560194236,0.0022755386202747527
3764,med,MG,ibia,3,248.89,0.003153181560194236,0.002274807435434724
3765,med,PB,sume,3,248.89,0.003153181560194236,0.002274807435434724
3766,med,MG,catas altas,3,248.8,0.003153181560194236,0.002273984852489692
3767,med,PA,vigia,3,248.79,0.003153181560194236,0.002273893454384688
3768,low,SC,bombinhas,6,248.49,0.006306363120388472,0.00227115151123458
3769,low,MG,esmeraldas,6,247.29,0.006306363120388472,0.0022601837386341476
3770,med,GO,pires do rio,3,246.99,0.003153181560194236,0.002257441795484039
3771,med,RS,palmitinho,3,246.7,0.003153181560194236,0.0022547912504389343
3772,med,PR,pinhao,3,244.9,0.003153181560194236,0.0022383395915382856
3773,med,MG,nepomuceno,3,244.89,0.003153181560194236,0.002238248193433282
3774,med,PR,jacarezinho,3,244.8,0.003153181560194236,0.0022374256104882497
3775,med,RS,nova santa rita,2,244.79,0.0021021210401294906,0.002237334212383246
3776,low,MG,bocaiuva,6,244.39,0.006306363120388472,0.0022336782881831017
3777,low,MT,lucas do rio verde,6,244.24,0.006306363120388472,0.002232307316608048
3778,high,PB,itaporanga,1,243.9,0.0010510605200647453,0.0022291997810379256
3779,med,PA,itaituba,3,243.88,0.003153181560194236,0.002229016984827918
3780,med,ES,domingos martins,3,243.4,0.003153181560194236,0.002224629875787745
3781,low,GO,mineiros,7,243.1,0.0073574236404532175,0.002221887932637637
3782,high,PR,planalto,1,243.0,0.0010510605200647453,0.002220973951587601
3783,med,RS,cerro largo,2,242.99,0.0021021210401294906,0.0022208825534825974
3784,med,TO,dianopolis,3,242.98,0.003153181560194236,0.0022207911553775938
3785,med,MG,pompeu,3,242.79000000000002,0.003153181560194236,0.0022190545913825252
3786,med,SP,brodowski,3,242.0,0.003153181560194236,0.00221183414108724
3787,low,RJ,arraial do cabo,6,241.94,0.006306363120388472,0.0022112857524572184
3788,med,MG,sao goncalo do rio abaixo,3,241.8,0.003153181560194236,0.0022100061789871684
3789,med,PA,porto trombetas,2,241.8,0.0021021210401294906,0.0022100061789871684
3790,low,SP,sao manuel,7,241.72,0.0073574236404532175,0.0022092749941471394
3791,high,MG,carmesia,1,241.1,0.0010510605200647453,0.0022036083116369156
3792,med,RO,buritis,2,240.98,0.0021021210401294906,0.0022025115343768725
3793,low,MG,coromandel,7,240.67,0.0073574236404532175,0.002199678193121761
3794,med,PR,paulo frontin,2,240.0,0.0021021210401294906,0.0021935545200865193
3795,high,RN,galinhos,1,240.0,0.0010510605200647453,0.0021935545200865193
3796,high,RS,santa clara do sul,1,240.0,0.0010510605200647453,0.0021935545200865193
3797,high,MT,ribeiraozinho,1,239.99,0.0010510605200647453,0.0021934631219815157
3798,high,PR,vera cruz do oeste,1,239.99,0.0010510605200647453,0.0021934631219815157
3799,high,RS,osvaldo kroeff,1,239.99,0.0010510605200647453,0.0021934631219815157
3800,high,MG,montalvania,1,239.98,0.0010510605200647453,0.002193371723876512
3801,high,SC,massaranduba,1,239.95999999999998,0.0010510605200647453,0.002193188927666505
3802,high,RS,sao jose do hortencio,1,239.9,0.0010510605200647453,0.0021926405390364835
3803,high,SP,clementina,1,239.9,0.0010510605200647453,0.0021926405390364835
3804,med,SC,campos novos,3,239.89,0.003153181560194236,0.0021925491409314794
3805,med,PA,dom eliseu,2,239.88,0.0021021210401294906,0.002192457742826476
3806,med,MG,entre rios de minas,3,239.86,0.003153181560194236,0.002192274946616469
3807,med,SC,papanduva,3,239.8,0.003153181560194236,0.002191726557986447
3808,med,AL,teotonio vilela,2,239.8,0.0021021210401294906,0.002191726557986447
3809,high,MA,candido mendes,1,239.8,0.0010510605200647453,0.002191726557986447
3810,high,MS,bataguassu,1,239.8,0.0010510605200647453,0.002191726557986447
3811,med,RJ,mendes,3,239.79000000000002,0.003153181560194236,0.0021916351598814435
3812,med,PR,reboucas,3,239.78,0.003153181560194236,0.00219154376177644
3813,low,SP,vargem grande do sul,6,239.32,0.006306363120388472,0.002187339448946274
3814,low,SP,holambra,7,239.29,0.0073574236404532175,0.0021870652546312633
3815,high,BA,pau brasil,1,239.2,0.0010510605200647453,0.0021862426716862306
3816,med,SP,miracatu,2,239.1,0.0021021210401294906,0.0021853286906361948
